,Name,Mileage,Dealer Name,Rating,Review Count,Price
71,2020 Volkswagen Atlas Cross Sport 2.0T S,"20,105 mi.",Joseph VW of Cincinnati,4.3,85 ,"$28,995"
72,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,"23,628 mi.",Stone Mountain Volkswagen,4.4,"2,418 ","$38,991"
73,2020 Volkswagen Tiguan 2.0T SE,"27,364 mi.",Driver's Village,2.7,162 ,"$26,486"
74,2022 Volkswagen Tiguan 2.0T SE R-Line Black,"18,272 mi.",Antwerpen Volkswagen,4.5,420 ,"$32,500"
75,2020 Volkswagen Arteon 2.0T SEL Premium R-Line,"34,444 mi.",Hudson Valley VW,4.2,496 ,"$34,800"
76,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL,"22,756 mi.",Low Country Volkswagen,4.1,180 ,"$39,591"
77,2023 Volkswagen Tiguan 2.0T SE R-Line Black,"1,121 mi.",Executive Volkswagen,4.7,308 ,"$34,909"
78,2020 Volkswagen Golf 1.4T TSI,"16,633 mi.",Kelly Volkswagen,4.7,978 ,"$24,597"
79,2019 Volkswagen Golf SportWagen 1.8T S,"64,443 mi.",O'Steen Volkswagen,3.9,55 ,"$17,995"
80,2021 Volkswagen Arteon 2.0T SEL R-Line,"13,772 mi.",Volkswagen of Corpus Christi,4.8,180 ,"$36,498"
81,2021 Volkswagen Atlas 3.6L SEL Premium,"25,299 mi.",AutoNation Audi Volkswagen Spokane,4.3,204 ,"$41,990"
82,2019 Volkswagen Jetta GLI 2.0T Autobahn,"58,181 mi.",AutoNation Volkswagen Las Vegas,4.6,789 ,"$24,725"
83,2022 Volkswagen Taos 1.5T SE,"7,069 mi.",Herzog-Meier Volkswagen Volvo Mazda,4.9,844 ,"$27,488"
84,2022 Volkswagen Taos 1.5T SEL,"19,910 mi.",Compass Volkswagen,n/a,0 ,"$32,938"
85,2021 Volkswagen Arteon 2.0T SEL Premium R-Line,"31,248 mi.",Volkswagen of Orland Park,3.5,"1,173 ","$36,995"
86,2019 Volkswagen Arteon 2.0T SEL R-Line,"13,089 mi.",Team Audi Volkswagen,n/a,30 ,"$31,500"
87,2022 Volkswagen Taos 1.5T SE,"4,135 mi.",Boucher Volkswagen Marketplace of Franklin,4.8,"1,071 ","$30,480"
88,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"6,113 mi.",Hall Volkswagen Mazda,4.7,616 ,"$41,991"
89,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,"18,473 mi.",Hall Volkswagen Mazda,4.7,616 ,"$42,994"
90,2022 Volkswagen Atlas Cross Sport 2.0T SEL,"4,626 mi.",Hall Volkswagen Mazda,4.7,616 ,"$44,991"
91,2019 Volkswagen Jetta GLI 2.0T Autobahn,"19,347 mi.",Hall Volkswagen Mazda,4.7,616 ,"$28,491"
92,2021 Volkswagen Arteon 2.0T SEL R-Line,"18,358 mi.",Dreyer & Reinbold BMW INFINITI Subaru Volkswagen of Greenwood,3.6,20 ,"$36,580"
93,2019 Volkswagen Golf GTI 2.0T Rabbit Edition,"43,255 mi.",Fairfield Volkswagen,3.9,"1,167 ","$28,000"
94,2022 Volkswagen Atlas 3.6L V6 SE w/Technology,"16,379 mi.",Joseph VW of Cincinnati,4.3,85 ,"$40,990"
95,2022 Volkswagen Atlas Cross Sport 3.6L V6 SEL,"8,978 mi.",Joseph VW of Cincinnati,4.3,85 ,"$43,988"
96,2021 Volkswagen ID.4 1st Edition,"17,350 mi.",D-Patrick Motoplex,4.7,372 ,"$43,000"
97,2021 Volkswagen Passat 2.0T SE,"20,566 mi.",Classic Volkswagen Mentor,4.9,211 ,"$22,995"
98,2020 Volkswagen Arteon 2.0T SE,"10,431 mi.",Luther Burnsville Volkswagen,4.9,"2,655 ","$30,895"
99,2022 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,"11,425 mi.",Crown Toyota Volkswagen,4.7,399 ,"$42,971"
100,2020 Volkswagen Arteon 2.0T SE,"17,137 mi.",Alexandria VW,4.7,973 ,"$25,900"
101,2020 Volkswagen Passat 2.0T R-Line,"21,044 mi.",Hamilton Volkswagen,4.7,"2,145 ","$24,489"
102,2020 Volkswagen Tiguan 2.0T SE,"34,587 mi.",Volkswagen of Schenectady,4.7,"1,319 ","$26,300"
103,2019 Volkswagen Arteon 2.0T SEL R-Line,"37,173 mi.",Curran Volkswagen,4.8,383 ,"$29,700"
104,2019 Volkswagen Golf R 2.0T w/DCC & Navigation,"25,470 mi.",Capitol Volkswagen,3.3,52 ,"$39,694"
105,2020 Volkswagen Jetta 1.4T S,"17,916 mi.",Cochran Volkswagen South Hills,4.5,316 ,"$19,272"
106,2019 Volkswagen e-Golf SEL Premium,"18,349 mi.",Volkswagen of Downtown Chicago,4.5,"1,943 ","$26,891"
107,2020 Volkswagen Atlas Cross Sport 2.0T S,"29,297 mi.",The Autobarn Volkswagen of Countryside,4.9,"1,181 ","$28,335"
108,2021 Volkswagen ID.4 Pro,"8,112 mi.",Larry Roesch Volkswagen,4.4,143 ,"$37,347"
109,2020 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,"28,090 mi.",Bill Jacobs VW,4.3,618 ,"$31,487"
110,2019 Volkswagen Atlas 3.6L SE w/Technology,"31,576 mi.",Hall Volkswagen Mazda,4.7,616 ,"$34,991"
111,2021 Volkswagen Jetta GLI 2.0T S,"16,236 mi.",Vorderman Volkswagen,4.4,352 ,"$27,600"
112,2022 Volkswagen Atlas 3.6L SE w/Technology,"3,494 mi.",Fairfield Volkswagen,3.9,"1,167 ","$40,507"
113,2021 Volkswagen Atlas 2.0T SE,"42,397 mi.",Byers Volkswagen by the Airport,4.7,316 ,"$30,453"
114,2021 Volkswagen ID.4 Pro S,"15,473 mi.","Northtowne Volkswagen, Hyundai, Mazda",3.5,754 ,"$43,988"
115,2021 Volkswagen ID.4 Pro,"25,748 mi.",Crown Toyota Volkswagen,4.7,399 ,"$38,971"
116,2023 Volkswagen Atlas 2.0T SE,"7,019 mi.",Gossett Porsche VW,n/a,33 ,"$37,500"
117,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"10,190 mi.",Stone Mountain Volkswagen,4.4,"2,418 ","$40,991"
118,2020 Volkswagen Arteon 2.0T SE,"15,281 mi.",Wellesley Volkswagen,4.9,"3,387 ","$28,995"
119,2021 Volkswagen Tiguan 2.0T SEL Premium R-Line,"16,256 mi.",Kelly Volkswagen,4.7,978 ,"$38,992"
120,2023 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,"2,436 mi.",Kelly Volkswagen,4.7,978 ,"$47,990"
121,2020 Volkswagen Arteon 2.0T SEL Premium R-Line,"20,401 mi.",Tracy Volkswagen Inc.,n/a,6 ,"$37,991"
122,2021 Volkswagen Atlas 3.6 V6 SEL Premium,"37,424 mi.",Bob Boast Volkswagen,5.0,959 ,"$40,794"
123,2021 Volkswagen Tiguan 2.0T SEL,"8,156 mi.",Volkswagen SouthTowne,4.5,"1,298 ","$31,412"
124,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,"17,920 mi.",AutoNation Audi Volkswagen Spokane,4.3,204 ,"$39,990"
125,2021 Volkswagen Atlas Cross Sport 2.0T S,"21,586 mi.",Findlay Volkswagen,4.7,46 ,"$28,000"
126,2019 Volkswagen Jetta 1.4T S,"23,496 mi.",Compass Volkswagen,n/a,0 ,"$21,129"
127,2022 Volkswagen Taos 1.5T SEL,"5,987 mi.",Boucher Volkswagen Marketplace of Franklin,4.8,"1,071 ","$34,180"
128,2022 Volkswagen Golf GTI 2.0T SE,"13,291 mi.",Hall Volkswagen Mazda,4.7,616 ,"$34,994"
129,2022 Volkswagen Taos 1.5T SE,"17,670 mi.",Hall Volkswagen Mazda,4.7,616 ,"$29,991"
130,2021 Volkswagen ID.4 Pro S,"17,272 mi.",Vorderman Volkswagen,4.4,352 ,"$41,000"
131,2021 Volkswagen Jetta GLI 2.0T S,"2,992 mi.",Andy Mohr Volkswagen,4.3,165 ,"$27,999"
132,2022 Volkswagen Atlas 3.6L SE w/Technology,"4,935 mi.",MAG Midwestern Auto Group,3.0,73 ,"$41,882"
133,2022 Volkswagen Atlas 3.6L SE w/Technology,"9,077 mi.",MAG Midwestern Auto Group,3.0,73 ,"$40,683"
134,2022 Volkswagen Atlas 2.0T SEL,"6,480 mi.",MAG Midwestern Auto Group,3.0,73 ,"$42,999"
135,2019 Volkswagen Jetta 1.4T SEL Premium,"28,705 mi.",Ide Volkswagen,4.9,858 ,"$25,490"
136,2022 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"8,323 mi.",Nalley Volkswagen,4.6,352 ,"$50,960"
137,2020 Volkswagen Tiguan 2.0T SEL,"51,645 mi.",Compass Volkswagen,n/a,0 ,"$26,651"
138,2019 Volkswagen Tiguan 2.0T SE,"30,679 mi.",East Coast Honda,n/a,109 ,"$27,997"
139,2019 Volkswagen Tiguan 2.0T S,"12,634 mi.",East Coast Honda,n/a,109 ,"$27,000"
140,2020 Volkswagen Tiguan 2.0T S,"31,210 mi.",East Coast Honda,n/a,109 ,"$24,560"
141,2020 Volkswagen Arteon 2.0T SEL R-Line,"48,050 mi.",Volkswagen of St. Augustine,4.6,227 ,"$29,665"
142,2022 Volkswagen ID.4 Pro,"1,518 mi.",McDonald Volkswagen,4.9,"1,541 ","$42,970"
143,2021 Volkswagen Atlas 3.6L V6 SE w/Technology,"9,654 mi.",Prestige Volkswagen,n/a,162 ,"$35,975"
144,2021 Volkswagen Atlas 3.6 V6 SEL R-Line,"24,039 mi.",Rick Case Volkswagen,3.7,346 ,"$39,500"
145,2022 Volkswagen Golf GTI 2.0T SE,"3,098 mi.",Lunde's Peoria Volkswagen,4.8,543 ,"$35,998"
146,2022 Volkswagen Atlas 3.6L SE w/Technology,"8,618 mi.",Findlay Volkswagen,4.7,46 ,"$37,700"
147,2021 Volkswagen Jetta 1.4T S,"20,931 mi.",Rusty Wallis Volkswagen,4.8,716 ,"$19,901"
148,2022 Volkswagen ID.4 Pro S,"3,486 mi.",Volkswagen of Downtown Chicago,4.5,"1,943 ","$46,991"
149,2021 Volkswagen Atlas 3.6L SEL Premium,"51,409 mi.",Volkswagen of Oak Lawn,4.1,169 ,"$40,427"
150,2019 Volkswagen Atlas 3.6L SE w/Technology,"29,374 mi.",Boucher Volkswagen Marketplace of Franklin,4.8,"1,071 ","$32,999"
151,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"17,860 mi.",Hall Volkswagen Mazda,4.7,616 ,"$36,993"
152,2021 Volkswagen Atlas 3.6 V6 SEL Premium,"16,931 mi.",Hall Volkswagen Mazda,4.7,616 ,"$43,595"
153,2019 Volkswagen Golf GTI 2.0T Autobahn,"24,441 mi.",Hall Volkswagen Mazda,4.7,616 ,"$34,991"
154,2022 Volkswagen Taos 1.5T SE,"22,639 mi.",Vorderman Volkswagen,4.4,352 ,"$28,300"
155,2021 Volkswagen Atlas 3.6 V6 SEL Premium,"21,596 mi.",Schmelz Countryside Alfa Romeo FIAT Saab VW,4.0,254 ,"$44,725"
156,2021 Volkswagen Golf GTI 2.0T SE,"20,591 mi.",Sheehy Volkswagen of Hagerstown,n/a,1 ,"$30,900"
157,2019 Volkswagen Golf 1.4T SE,"37,315 mi.",Paul Miller Volkswagen,4.8,659 ,"$22,195"
158,2021 Volkswagen Jetta GLI 2.0T S,"17,787 mi.",World Volkswagen of Neptune,4.7,"2,013 ","$27,500"
159,2018 Volkswagen Tiguan 2.0T SEL,"42,516 mi.",East Coast Honda,n/a,109 ,"$26,000"
160,2019 Volkswagen Tiguan 2.0T S,"30,502 mi.",East Coast Honda,n/a,109 ,"$26,000"
161,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,"44,623 mi.",Volkswagen of Old Saybrook,n/a,30 ,"$39,246"
162,2022 Volkswagen Atlas 2.0T SE,"9,459 mi.",Wellesley Volkswagen,4.9,"3,387 ","$40,495"
163,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,"17,350 mi.",Nucar Volkswagen of Norwood,3.9,426 ,"$39,900"
164,2019 Volkswagen Atlas 3.6 V6 SE R-Line,"46,534 mi.",McDonald Volkswagen,4.9,"1,541 ","$32,570"
165,2022 Volkswagen Atlas 3.6L SE w/Technology,"3,694 mi.","Bob Penkhus Volvo, Mazda Inc.",4.7,"2,983 ","$39,999"
166,2022 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,"9,540 mi.",Momentum Volkswagen of Upper Kirby,4.7,392 ,"$43,774"
167,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"19,448 mi.",Findlay Volkswagen,4.7,46 ,"$34,500"
168,2019 Volkswagen Atlas 3.6L SE w/Technology,"46,118 mi.",Volkswagen of Downtown Chicago,4.5,"1,943 ","$28,591"
169,2020 Volkswagen Atlas Cross Sport 2.0T SEL,"8,298 mi.",Larry Roesch Volkswagen,4.4,143 ,"$38,990"
170,2019 Volkswagen Atlas 3.6L SE w/Technology,"35,168 mi.",Muller Subaru Volkswagen,5.0,86 ,"$30,709"
171,2020 Volkswagen Jetta 1.4T SEL,"51,534 mi.",Hall Volkswagen Mazda,4.7,616 ,"$26,991"
172,2022 Volkswagen Atlas 3.6L SE w/Technology,"7,216 mi.",MAG Midwestern Auto Group,3.0,73 ,"$40,886"
173,2021 Volkswagen Arteon 2.0T SE,"5,995 mi.",Fitzgerald Volkswagen Frederick,n/a,1 ,"$31,995"
174,2022 Volkswagen Atlas 3.6L SEL Premium R-Line,"5,620 mi.",Alexandria VW,4.7,973 ,"$49,500"
175,2022 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,"1,498 mi.",Low Country Volkswagen,4.1,180 ,"$48,987"
176,2022 Volkswagen Taos 1.5T SE,"13,415 mi.",Volkswagen Jaguar Cadillac of Hartford,n/a,246 ,"$30,995"
177,2020 Volkswagen Passat 2.0T SEL,"14,472 mi.",Hendrick Volkswagen Frisco,4.6,234 ,"$25,995"
178,2019 Volkswagen e-Golf SE,"14,120 mi.",Colonial Volkswagen,4.9,"2,430 ","$26,036"
179,2022 Volkswagen Atlas 3.6L SEL Premium R-Line,"22,435 mi.",Wellesley Volkswagen,4.9,"3,387 ","$47,695"
180,2021 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology R-Line,"6,950 mi.",Wellesley Volkswagen,4.9,"3,387 ","$39,995"
181,2019 Volkswagen Beetle 2.0T S,"4,910 mi.",Ed Carroll Motor Co.,4.9,117 ,"$32,817"
182,2022 Volkswagen Tiguan 2.0T SE,929 mi.,McDonald Volkswagen,4.9,"1,541 ","$31,570"
183,2022 Volkswagen Jetta 1.5T Sport,"2,228 mi.",Lakeland Volkswagen,4.3,"1,954 ","$22,900"
184,2019 Volkswagen Atlas 3.6L SE w/Technology,"25,133 mi.",Volkswagen of Palm Springs,3.9,85 ,"$29,987"
185,2020 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,"26,295 mi.",Capistrano Volkswagen,5.0,17 ,"$29,799"
186,2019 Volkswagen Arteon 2.0T SEL R-Line,"42,538 mi.",Dirito Brothers Walnut Creek Volkswagen,4.8,"3,310 ","$27,988"
187,2020 Volkswagen Jetta GLI 2.0T S,"17,760 mi.",Sunnyvale Volkswagen,4.5,74 ,"$25,991"
188,2022 Volkswagen Atlas 3.6L SE w/Technology,"4,411 mi.",City Volkswagen Of Evanston,4.9,"1,704 ","$39,500"
189,2022 Volkswagen Atlas 3.6L SE w/Technology,"13,376 mi.",City Volkswagen of Highland,4.8,829 ,"$39,790"
190,2019 Volkswagen Atlas 3.6L SEL Premium,"32,212 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$36,500"
191,2019 Volkswagen Golf Alltrack TSI S,"32,674 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$27,695"
192,2021 Volkswagen ID.4 Pro,"16,031 mi.",Fox Valley Volkswagen of St. Charles,4.3,699 ,"$37,331"
193,2020 Volkswagen Jetta 1.4T R-Line,"23,838 mi.",Hall Volkswagen Mazda,4.7,616 ,"$23,993"
194,2022 Volkswagen Atlas 2.0T SE w/Technology,"25,896 mi.",Andy Mohr Volkswagen,4.3,165 ,"$36,499"
195,2020 Volkswagen Arteon 2.0T SEL R-Line,"27,259 mi.",LaFontaine Volkswagen of Dearborn,2.5,140 ,"$33,789"
196,2021 Volkswagen ID.4 Pro S,"12,495 mi.",Joseph VW of Cincinnati,4.3,85 ,"$43,577"
197,2022 Volkswagen Atlas 3.6 V6 SEL R-Line,"20,244 mi.",Bachman Volkswagen,4.9,483 ,"$44,578"
198,2022 Volkswagen Atlas 3.6L SE w/Technology,"2,293 mi.",Volkswagen of Inver Grove,4.9,760 ,"$40,990"
199,2021 Volkswagen Atlas Cross Sport 2.0T S,"44,584 mi.",Luther Westside VW,4.8,"5,452 ","$28,000"
200,2019 Volkswagen Atlas 3.6L SE w/Technology,"56,722 mi.",Volkswagen of South Charlotte,4.9,"1,914 ","$29,828"
201,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"18,986 mi.",Alexandria VW,4.7,973 ,"$37,800"
202,2021 Volkswagen Atlas Cross Sport 2.0T S,"31,671 mi.",Curran Volkswagen,4.8,383 ,"$27,995"
203,2020 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,"38,357 mi.",Northampton Volkswagen,4.8,897 ,"$29,648"
204,2021 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology R-Line,"31,477 mi.",Volkswagen Jaguar Cadillac of Hartford,n/a,246 ,"$37,995"
205,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"15,520 mi.",Wellesley Volkswagen,4.9,"3,387 ","$43,995"
206,2023 Volkswagen Arteon 2.0T SEL Premium R-Line,"1,017 mi.",Kelly Volkswagen,4.7,978 ,"$48,898"
207,2022 Volkswagen Tiguan 2.0T SE,"6,651 mi.",University Mazda,2.2,64 ,"$31,000"
208,2022 Volkswagen Atlas 3.6L SE w/Technology,"2,075 mi.",Boucher Volkswagen Marketplace of Franklin,4.8,"1,071 ","$41,890"
209,2022 Volkswagen Taos 1.5T SE,"11,356 mi.",Boucher Volkswagen Marketplace of Franklin,4.8,"1,071 ","$29,990"
210,2022 Volkswagen Atlas 3.6L SE w/Technology,"5,538 mi.",Hall Volkswagen Mazda,4.7,616 ,"$43,991"
211,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,"20,975 mi.",Hall Volkswagen Mazda,4.7,616 ,"$39,995"
